date,rating,title,contents
2024-08-27,5,Makes you so pretty! Enhances skin's natural beauty!,"This product is  amazing. I never even thought of looking for something like this until I saw an ad from the 3 letter company that rhymes with ""self"". Well, from past bad experiences with breakouts (sensitive skin) from that brand, I knew to stay away. The good Amazon algorithm came to the rescue and suggested this Lumi Glotion by l'Oreal as a similar item to consider. Thank you! lol! L'oreal is trustworthy quality and gentle on my skin and eyes. I have had great results with other products in the past so, I go for it! So glad I did! This summer, I got to ditch foundations and powders and my skin never looked better than with this! I loved that I could simplify my routine and still looks so pretty! I just did my usual skin care routine, including moisturizer and sunscreen. Then dot this on and gently blend with fingers. It blends with ease! This stuff truly enhances your skin's natural beauty. Somehow, it allows your actual true skin to come through (foundation and powder does not!). Yet, as sheer as it is, it seems to even, blur, and smooth everything out! All while giving you a soft natural glow! My skin had a polished yet very natural finished look just like that! I was nervous it would make me look too oily or shiny but no. Just start light and add more where you want more highlight. After that, I just add brow gel, mascara and light lip tint. Then I feel ready for anything. For reference, I have a warm chocolate skin tone. So the ""deep"" was perfect. L'oreal has done a wonderful job of inclusivity here! There is a shade that works for every women and they manged to do this without me having to break the bank! Worth it! Do proceed to buy!"
2024-08-22,5,Great Versatile Product!,Just purchased this in a darker shade (medium) than I normally wear (light) with the light I use it for a glow and just a little bit of color. I have used it underneath my foundation and also mixing it with the foundation and if I'm running out of the house just for a quick errand by itself as a tint/moisturizer.I am using the medium now because my face is not as tan as the rest of my body.  I cover my face all the time with full sunscreen.  I mix  this with my foundation that is too light for a bronzier look.  Or just go a little darker by adding more for  a semi self tanner.The lotion is easy to apply and also easy to control tint. You could always build up by adding more.This will be an essential staple in my make up kit from now on.
2024-09-23,5,Perfection,Wow! I absolutely love how this product gives my skin a soft dewy glow. It is lightweight coverage that I like to wear on its own. I usually don't need anything else and it's perfect when I'm just needing to get out the door quickly. I will probably buy a few more to stock up!
2024-07-28,4,"Just use a little on my cheeks ,  It’s shimmery looking","I’m a older women with great grand children.I do Use a moisturizer, eye cream,?and lite makeup and I was feeling my face was looking  dry, pasty  and old. ! Lol.I bought this from all the good reviews , but there Allot younger then me!When I first put this on I thought I used a little, but every line, in my face lite up!This is shimmery frosted looking.I did not put  makeup over this  But it was scary looking.I was going to return this.I Gave it a second chance , But Now I just use a little more then a pin head on my fingers and rub it in my cheeks, and use a little blush.  Sometimes a little makeup over this .I like the natural look.My face looks less dry and not pasty.!This feels very moisturizing , or a little greasy!!!This tube will last me a long time!"
2024-09-18,5,This is amazing!,"This has completely transformed my complexion!  I wear it any time I go out and people give me compliments all the time.  I plan to get the shade lighter than this for the winter to keep that sheeny glow without looking too bronzed.  Whether bronzed in the summer or shimmery in the winter, you need to own this product!!!"
2024-08-21,5,love this,"i am addicted to pretty much anything drunk elephant puts out (love them, can't say enough good things about them) and their highlighter dropper thing is phenomenal but i feel like it's almost TOO lightweight to use as a highlighter. someone told me to try this and i love it, not glittery but very dewy and refreshing looking as a highlighter. i use the DE one all over my face first (bc it does have good skincare benefits, i will give them that) and then do my makeup as usual, then finish with the loreal glotion on my cheekbones. i haven't tried this as the base layer but i'm sure it would be jsut as good and a fraction of the price"
2024-09-24,5,Very good product for a nice natural glow,"I was  hesitant but I got it. I was very pleasantly surprised at how much I like this. It goes on smooth, gives you a healthy glow, sunk-kissed almost. Leaves my skin feeling smooth."
2024-09-06,4,Mature skin,"I saw a lot of reviews about how this looks terrible on mature skin, so I was a bit leery, but I bought it anyway. Honestly, it does look really shiny and almost greasy on plain, more mature skin (I’m in my 40’s). It does accentuate pores and wrinkles. BUT if you put it on under a smaller amount of your normal foundation, it gives a really nice dewy glow to the skin. I definitely like it, but if your skin is more mature, you might not be able to wear it alone."
2024-08-24,4,"Natural Glow Enhancer,",I thought I was getting a foundation with a glow to it. This is NOT. I have a glow enhancer already but. I was out of foundation and foundation a foundation in my drawer that was too light but it was a full coverage foundation which is what I’ve been looking For. I put on the foundation followed by the enhancer and got the perfect color and glow I’d been looking for.It goes on good without streaking. If this is your purpose for purchasing this than you’ve chosen the right product but it is NOT A FOUNDATION.!
2024-09-22,4,Pretty good,If I use it with setting powder it’s perfect in my opinion. The powder dials down the intensity just enough for me otherwise sometimes it’s too dark for my skin or even sparkly since it has a sparkle/glitter/glow to it.
